ID,participant,x1_JJJ,x2_nchar,freq,
486,IID41,0,213,0,
487,IID42,0,230,0,
488,IID43,0,168,0,
489,IID44,0,179,0,
490,IID45,0,110,2,
491,IID46,0,203,2,
492,IID47,0,240,0,
493,IID48,0,172,1,
494,IID49,0,128,2,
495,IID50,0,148,1,
496,IID51,0,115,0,
497,IID52,0,143,2,
498,IID54,0,115,0,
499,IID55,0,83,0,
500,IID56,0,172,2,
501,JJC01,0,178,0,
502,JJC02,0,191,0,
503,JJC03,0,143,0,
504,JJC04,0,100,0,
505,JJC05,0,136,0,
506,JJC06,0,172,1,
507,JJC07,0,82,0,
508,JJC08,0,158,1,
509,JJC09,0,186,2,
510,JJC10,0,146,1,
511,JJC11,0,130,0,
512,JJC12,0,118,1,
513,JJC13,0,59,1,
514,JJC14,0,134,0,
515,JJC15,0,156,0,
516,JJC16,0,141,0,
517,JJC18,0,135,0,
518,JJC19,0,221,0,
519,JJC20,0,202,1,
520,JJC21,0,175,0,
521,JJC22,0,214,0,
522,JJC23,0,116,0,
523,JJC27,0,151,1,
524,JJC28,0,140,1,
525,JJC29,0,166,2,
526,JJC31,0,179,0,
527,JJC32,0,133,0,
528,JJC33,0,233,2,
529,JJC34,0,201,0,
530,JJC35,0,202,0,
531,JJC36,0,165,0,
532,JJC37,0,188,0,
533,JJC38,0,94,0,
534,JJC39,0,287,0,
535,JJC40,0,126,0,
536,JJC43,0,343,2,
537,JJC45,0,253,0,
538,JJC46,0,306,0,
539,JJC47,0,214,0,
540,JJC48,0,193,1,
541,JJC50,0,144,0,
542,JJC51,0,200,1,
543,JJC52,0,201,0,
544,JJC55,0,246,4,
545,JJC56,0,124,2,
546,JJC57,0,198,1,
547,JJC59,0,230,1,
548,JJC61,0,162,1,
549,JJC62,0,149,2,
550,JJE01,0,72,0,
551,JJE03,0,149,1,
552,JJE04,0,90,0,
553,JJE05,0,101,0,
554,JJE07,0,118,0,
555,JJE09,0,135,0,
556,JJE11,0,163,0,
557,JJE12,0,121,0,
558,JJE13,0,86,0,
559,JJE15,0,140,1,
560,JJE16,0,125,0,
561,JJE18,0,139,0,
562,JJE20,0,148,2,
563,JJE21,0,187,2,
564,JJE22,0,129,0,
565,JJE23,0,177,0,
566,JJE26,0,130,0,
567,JJE27,0,180,1,
568,JJE28,0,235,0,
569,JJE31,0,165,2,
570,JJE32,0,155,0,
571,JJE33,0,208,1,
572,JJE34,0,122,0,
573,JJE36,0,143,0,
574,JJE37,0,139,2,
575,JJE38,0,208,0,
576,JJE39,0,139,0,
577,JJE40,0,92,0,
578,JJE41,0,146,2,
579,JJE45,0,147,0,
580,JJE46,0,74,0,
581,JJE47,0,109,0,
582,JJE50,0,100,0,
583,JJE53,0,136,1,
584,JJE55,0,112,0,
585,JJE56,0,130,0,
586,JJE57,0,91,0,
587,JJE58,0,166,0,
588,JJE60,0,139,0,
589,JJE61,0,153,0,
590,JJE62,0,150,0,
591,JJE63,0,90,0,
